IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LI_pigs_v2,LI_bovine_v2,LA_hvi,LA_lvi,LA_land_use,LA_soil_use
1264.0,46.1678524,9.87920992,2020-10-01,290.0,13.0,11.0,,,25.19,16.1,,6.528,0.806,1.222,NW,0.0006815,1.0,82960.0,9169000.0,65.26,87.21,99.3,1.307,2.515,NW,798.3,25.59,0.4864,0.4982,0.005722,1.192,0.5866,1.165,0.18,0.7186,5.078,0.8972,6.441,4.321,1.628,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-02,290.0,11.0,9.0,,,24.31,16.9,,6.441,0.9826,1.466,NE,0.07123,1.0,82330.0,1634000.0,97.92,99.06,99.55,3.134,4.052,NE,587.1,85.63,0.4816,0.501,0.005772,1.194,0.5857,1.17,0.182,0.7186,5.078,0.8971,6.444,4.312,1.618,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-03,290.0,8.0,3.0,,,15.3,11.86,,5.725,1.052,1.616,NE,0.05218,1.0,82060.0,6115000.0,65.95,92.49,99.68,3.176,4.721,NE,863.3,83.0,0.4768,0.5045,0.00582,1.195,0.5848,1.175,0.1838,0.7186,5.078,0.897,6.448,4.303,1.607,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-04,290.0,9.0,4.0,,,12.0,8.304,,3.512,0.7993,1.097,NE,0.02545,1.0,82500.0,5362000.0,88.3,97.08,99.59,2.43,3.216,N,1201.0,81.44,0.4718,0.5088,0.005866,1.198,0.5841,1.18,0.1855,0.7186,5.078,0.8969,6.451,4.294,1.596,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-05,290.0,7.0,5.0,,,18.12,13.01,,2.599,0.6209,1.112,SE,0.006554,1.0,82860.0,6053000.0,76.95,89.42,98.21,1.283,2.353,N,946.8,15.43,0.4667,0.5139,0.005909,1.201,0.5834,1.184,0.1872,0.7186,5.078,0.8967,6.454,4.285,1.585,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-06,290.0,12.0,9.0,,,23.31,11.84,,3.273,0.7937,1.356,NW,0.001119,1.0,83250.0,6997000.0,69.73,85.74,96.43,1.546,2.806,NW,816.4,24.14,0.4615,0.5197,0.00595,1.204,0.5827,1.188,0.1887,0.7186,5.078,0.8966,6.458,4.275,1.574,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-07,290.0,11.0,9.0,,,22.35,12.99,,4.727,1.003,1.353,S,9.332e-05,0.0,83370.0,10600000.0,46.97,72.52,98.15,2.597,3.453,S,1561.0,24.73,0.4563,0.5263,0.005988,1.209,0.5821,1.193,0.1903,0.7186,5.078,0.8964,6.461,4.266,1.563,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-08,290.0,10.0,5.0,,,22.95,13.27,,5.893,0.7592,1.127,S,2.935e-06,0.0,84130.0,10850000.0,49.02,69.34,84.78,1.588,2.991,S,720.1,11.91,0.4509,0.5337,0.006024,1.213,0.5816,1.197,0.1918,0.6707,5.078,0.8963,6.464,4.257,1.552,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-09,290.0,13.0,11.0,,,30.45,16.69,,6.578,0.6743,0.9459,S,1.388e-17,0.0,84140.0,10080000.0,60.05,77.15,97.67,0.881,1.824,NW,680.8,10.99,0.4455,0.5418,0.006058,1.219,0.5812,1.201,0.1932,0.6707,5.078,0.8962,6.468,4.248,1.541,112.0,NA
1264.0,46.1678524,9.87920992,2020-10-10,290.0,14.0,11.0,,,21.19,12.21,,5.071,0.7697,1.065,S,0.003082,1.0,83730.0,8899000.0,59.82,83.05,99.21,1.307,2.762,S,929.7,24.48,0.4401,0.5506,0.006089,1.225,0.5807,1.205,0.1946,0.6707,5.078,0.896,6.471,4.239,1.53,112.0,NA
